SceneName,ElapsedTime,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftDirX,LeftDirY,LeftDirZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightDirX,RightDirY,RightDirZ,CenterPosX,CenterPosY,CenterPosZ,CenterRotX,CenterRotY,CenterRotZ,CenterRotW,CenterDirX,CenterDirY,CenterDirZ
Fixation,24.8411,0.01780611,0.04320693,-0.0377571,-0.2212001,-0.2534959,-0.0178581,-0.9415368,0.4852519,-0.4074822,0.7736206,0.08698934,0.04509163,-0.03779782,-0.1907089,-0.05775625,-0.01565068,-0.9798211,0.119151,-0.3719134,0.9205887,0.05222448,0.05008161,-0.1662945,0.01433154,0.000508016,0.0152236,0.9997813,0.001452165,-0.02864135,0.9995887
Fixation,24.8522,0.01782242,0.04319966,-0.0377872,-0.2211374,-0.2534766,-0.01785168,-0.9415568,0.4852207,-0.4073769,0.7736956,0.08700564,0.04508507,-0.03782498,-0.1905124,-0.05828345,-0.01566421,-0.9798279,0.120184,-0.3715127,0.9206161,0.05224112,0.05007374,-0.1663239,0.01426644,0.0004861231,0.01522912,0.9997821,0.001406565,-0.02851185,0.9995925
Fixation,24.8630,0.01782582,0.04321051,-0.03781257,-0.2208953,-0.2537662,-0.01786582,-0.9415354,0.4857526,-0.4068941,0.773616,0.087009,0.04509735,-0.03785039,-0.1905148,-0.05828562,-0.01567424,-0.9798272,0.120192,-0.3715161,0.9206138,0.05224438,0.05008531,-0.1663493,0.01426955,0.0004865224,0.01523922,0.999782,0.001407746,-0.02851806,0.9995923
Fixation,24.8742,0.0178197,0.04323256,-0.03782829,-0.2208854,-0.2536947,-0.01785724,-0.941557,0.485625,-0.4068919,0.7736972,0.08700296,0.04511631,-0.03785633,-0.1905003,-0.05821211,-0.01566561,-0.9798345,0.1200451,-0.3714937,0.920642,0.05223976,0.05010545,-0.1663603,0.01425349,0.0004154131,0.0152185,0.9997825,0.001264479,-0.02848813,0.9995933
Fixation,24.8852,0.01783926,0.04325891,-0.03785276,-0.2207935,-0.2536852,-0.01788433,-0.9415807,0.4856277,-0.4067158,0.7737881,0.08702235,0.04514909,-0.03787801,-0.1905052,-0.05874569,-0.01571728,-0.9798009,0.1211066,-0.3714677,0.9205135,0.05225907,0.05013347,-0.1663844,0.01416837,0.0003948118,0.01526509,0.999783,0.001222015,-0.02831854,0.9995982
Fixation,24.8965,0.01786268,0.04327905,-0.03787084,-0.2205905,-0.2534971,-0.01791122,-0.9416785,0.4853275,-0.4063698,0.7741581,0.08704567,0.04517317,-0.03789243,-0.1904857,-0.05872501,-0.01574889,-0.9798054,0.1210781,-0.3714281,0.9205331,0.05228257,0.0501554,-0.1664009,0.01415016,0.0003686312,0.01529357,0.9997829,0.001169915,-0.0282829,0.9995993
Fixation,24.9072,0.01787312,0.04330635,-0.03788605,-0.2205458,-0.2535266,-0.0179031,-0.9416811,0.4853793,-0.4062899,0.7741676,0.08705607,0.0452019,-0.0379117,-0.1903354,-0.05938468,-0.01575948,-0.9797947,0.1223688,-0.3711075,0.9204918,0.05229238,0.0501827,-0.1664186,0.0141053,0.0003975575,0.01530331,0.9997833,0.001226658,-0.02819231,0.9996018
Fixation,24.9186,0.01789255,0.04333055,-0.03789401,-0.2205137,-0.253503,-0.01791302,-0.9416948,0.4853451,-0.4062311,0.7742199,0.08707546,0.04522777,-0.03791585,-0.1903045,-0.05935962,-0.01577489,-0.979802,0.1223254,-0.3710487,0.9205213,0.05231214,0.05020726,-0.1664251,0.0140745,0.0003697863,0.01531574,0.9997836,0.001170536,-0.02813159,0.9996036
Fixation,24.9300,0.0179044,0.04333258,-0.03792164,-0.2200682,-0.2540494,-0.01795021,-0.9416511,0.4863523,-0.4053344,0.7740579,0.08708711,0.04523671,-0.03795004,-0.1902774,-0.05941531,-0.01581383,-0.9798032,0.1224487,-0.3709896,0.9205287,0.0523225,0.05021214,-0.1664563,0.01404982,0.0004175319,0.01536541,0.9997832,0.001266645,-0.02808071,0.9996049
Fixation,24.9408,0.01791635,0.04333949,-0.03792792,-0.2200124,-0.2540583,-0.01786188,-0.9416634,0.4863345,-0.4052792,0.7740979,0.08709931,0.04523432,-0.0379599,-0.1902055,-0.05942703,-0.0157388,-0.9798177,0.1224425,-0.3708627,0.9205806,0.05233497,0.0502131,-0.1664653,0.01397238,0.0004415395,0.01529782,0.9997852,0.001310383,-0.02792524,0.9996092
